Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
BLANKENBERGE,395000,APARTMENT,APARTMENT,2,None,0,0,0,1,None,0,None,None,2,0,AS_NEW,For Sale
Ixelles,495000,APARTMENT,APARTMENT,3,143,0,0,0,1,6,0,None,None,2,0,TO_BE_DONE_UP,For Sale
Brakel,220000,APARTMENT,APARTMENT,1,93,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Nivelles,139000,APARTMENT,APARTMENT,2,66,0,0,0,0,None,0,None,None,2,0,TO_BE_DONE_UP,For Sale
Saint-Gilles,400000,APARTMENT,APARTMENT,1,78,1,0,0,1,36,0,None,None,2,0,AS_NEW,For Sale
Duinbergen,775000,APARTMENT,APARTMENT,2,89,0,0,0,1,5,0,None,None,None,0,GOOD,For Sale
Anderlecht,149500,APARTMENT,APARTMENT,1,51,1,0,0,1,8,0,None,None,2,0,TO_BE_DONE_UP,For Sale
Charleroi Goutroux,349000,HOUSE,HOUSE,5,209,0,0,0,1,460,1,600,1350,4,0,JUST_RENOVATED,For Sale
Brugge,198000,APARTMENT,SERVICE_FLAT,1,53,0,0,0,1,None,0,None,None,4,0,AS_NEW,For Sale
Benahavís,995000,APARTMENT,APARTMENT,3,146,0,0,0,1,223,0,None,None,None,0,GOOD,For Sale
Knokke-Heist,379000,HOUSE,HOUSE,3,143,1,0,0,1,35,1,100,212,3,0,AS_NEW,For Sale
Izegem,105000,HOUSE,HOUSE,4,122,0,0,0,0,None,0,None,100,2,0,None,For Sale
DESTELBERGEN,349500,APARTMENT,APARTMENT,2,110,0,0,0,1,16,0,None,None,3,0,None,For Sale
DESTELBERGEN,419500,APARTMENT,APARTMENT,3,126,0,0,0,1,13,0,None,None,3,0,None,For Sale
DESTELBERGEN,398000,APARTMENT,APARTMENT,3,121,0,0,0,1,14,0,None,None,3,0,None,For Sale
BAUDOUR,79000,HOUSE,HOUSE,2,70,0,0,0,0,None,0,None,280,2,0,GOOD,For Sale
DESTELBERGEN,339000,APARTMENT,APARTMENT,2,88,0,0,0,1,11,1,39,None,3,0,None,For Sale
Philippeville Neuville,259000,HOUSE,VILLA,4,132,0,0,0,1,None,0,None,1546,4,0,AS_NEW,For Sale
DEURNE,385000,HOUSE,HOUSE,3,201,0,0,0,0,None,1,65,200,2,0,AS_NEW,For Sale
Brakel,325000,HOUSE,HOUSE,2,116,0,0,0,1,None,0,None,135,2,0,GOOD,For Sale
Oudenaarde,299000,HOUSE,HOUSE,3,141,0,0,0,1,None,1,182,182,2,0,GOOD,For Sale
Oostakker,332000,APARTMENT,APARTMENT,2,99,1,0,0,1,10,0,None,None,None,0,GOOD,For Sale
NAZARETH,419000,HOUSE,HOUSE,4,180,0,0,0,0,None,0,None,612,4,1,TO_BE_DONE_UP,For Sale
Ixelles,4950000,HOUSE,HOUSE,8,800,1,0,0,1,50,1,267,700,2,1,AS_NEW,For Sale
Oostakker,276000,APARTMENT,APARTMENT,2,80,1,0,0,1,15,0,None,None,None,0,GOOD,For Sale
Oostakker,305000,APARTMENT,APARTMENT,2,88,1,0,0,1,15,0,None,None,None,0,GOOD,For Sale
Oostakker,288000,APARTMENT,APARTMENT,2,83,1,0,0,1,14,0,None,None,None,0,GOOD,For Sale
Oostakker,297000,APARTMENT,APARTMENT,2,88,1,0,0,1,10,0,None,None,None,0,GOOD,For Sale
Oostakker,294000,APARTMENT,APARTMENT,2,83,1,0,0,1,15,0,None,None,None,0,GOOD,For Sale
Oostakker,299000,APARTMENT,APARTMENT,2,89,1,0,0,1,10,0,None,None,None,0,GOOD,For Sale
Oostakker,275000,APARTMENT,APARTMENT,2,82,1,0,0,1,9,0,None,None,None,0,GOOD,For Sale
